q0,q1,q2,q3,q4,q5,q6,q7,q8,output
4,4,4,6,6,4,6,6,4,6
4,4,4,6,4,0,6,4,0,4
4,4,4,4,0,0,4,0,0,3
4,4,4,0,0,4,0,0,4,3
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,8
4,4,4,0,0,4,0,0,4,8
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,3
4,4,4,0,0,4,0,0,4,3
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,8
4,4,4,0,0,4,0,0,4,8
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,0,0,0,0,0,0,0,0
0,6,6,0,6,6,0,4,4,6
6,6,4,6,6,4,4,4,4,6
6,4,0,6,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,3
0,0,4,0,0,4,4,4,4,3
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,0
0,0,4,0,0,4,4,4,4,0
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,0
0,0,4,0,0,4,4,4,4,0
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,8
0,0,4,0,0,4,4,4,4,8
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,3
0,0,4,0,0,4,4,4,4,3
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,8
0,0,4,0,0,4,4,4,4,8
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,0
0,0,4,0,0,4,4,4,4,0
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,0
0,0,4,0,0,4,4,4,4,0
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,0
0,0,0,0,0,0,4,4,0,0
0,6,6,0,4,4,0,0,0,4
6,6,4,4,4,4,0,0,4,4
6,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,0,4,4,0,0,0,0,4
0,4,4,0,0,0,0,0,0,3
4,4,4,0,0,4,0,0,4,3
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,8
4,4,4,0,0,4,0,0,4,8
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,4,0,0,4,0,0,0,3
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,8
0,0,4,0,0,4,0,0,0,8
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
